participant_id,joe_context,stimulus,condition,univ_judgment,excluded
R_1hTodwWx3dCHEuv,No 3,no_line_3,1cut,26.0,False
R_1hTodwWx3dCHEuv,Yes 1,yes_line_7,1cut,-10.0,False
R_1hTodwWx3dCHEuv,Yes 2,yes_line_8,1cut,-5.0,False
R_1hTodwWx3dCHEuv,Yes 3,yes_line_9,1cut,-17.0,False
R_1hTodwWx3dCHEuv,Yes 4,yes_line_10,1cut,-45.0,False
R_1hTodwWx3dCHEuv,New Yes 7,7esque,1cut,-5.0,False
R_1hTodwWx3dCHEuv,New Yes 9,9esque,1cut,15.0,False
R_1hTodwWx3dCHEuv,New Yes 10,10esque,1cut,-5.0,False
R_1hTodwWx3dCHEuv,Maybe 1,maybe_4,1cut,50.0,False
R_1hTodwWx3dCHEuv,Maybe 2,maybe_5,1cut,45.0,False
R_1hTodwWx3dCHEuv,Maybe 3,maybe_6,1cut,45.0,False
R_1hTodwWx3dCHEuv,New Maybe 1,new_maybe_1,1cut,15.0,False
R_1hTodwWx3dCHEuv,New Maybe 2,new_maybe_2,1cut,41.0,False
R_1hTodwWx3dCHEuv,New Maybe 3,new_maybe_3,1cut,-33.0,False
R_1hTodwWx3dCHEuv,New Maybe 4,new_maybe_4,1cut,5.0,False
R_1hTodwWx3dCHEuv,New Maybe 5,new_maybe_5,1cut,0.0,False
R_1hTodwWx3dCHEuv,New Maybe 6,new_maybe_6,1cut,20.0,False
R_1hTodwWx3dCHEuv,No A,no_line_A,1cut,50.0,False
R_1hTodwWx3dCHEuv,No B,no_line_B,1cut,50.0,False
R_1hTodwWx3dCHEuv,No C,no_line_C,1cut,50.0,False
R_1hTodwWx3dCHEuv,No D,no_line_D,1cut,42.0,False
R_1hTodwWx3dCHEuv,Yes B,yes_line_B,1cut,12.0,False
R_1hTodwWx3dCHEuv,Yes C,yes_line_C,1cut,-3.0,False
R_1hTodwWx3dCHEuv,Yes D,yes_line_D,1cut,11.0,False
R_1hTodwWx3dCHEuv,Yes E,yes_line_E,1cut,-39.0,False
R_1hTodwWx3dCHEuv,Yes F,yes_line_F,1cut,-7.0,False
R_yOe552T3O8bum1H,No 1,no_line_1,1cut,20.0,False
R_yOe552T3O8bum1H,No 2,no_line_2,1cut,50.0,False
R_yOe552T3O8bum1H,No 3,no_line_3,1cut,30.0,False
R_yOe552T3O8bum1H,Yes 1,yes_line_7,1cut,-50.0,False
R_yOe552T3O8bum1H,Yes 2,yes_line_8,1cut,-50.0,False
R_yOe552T3O8bum1H,Yes 3,yes_line_9,1cut,-30.0,False
R_yOe552T3O8bum1H,Yes 4,yes_line_10,1cut,-50.0,False
R_yOe552T3O8bum1H,New Yes 7,7esque,1cut,50.0,False
R_yOe552T3O8bum1H,New Yes 9,9esque,1cut,-20.0,False
R_yOe552T3O8bum1H,New Yes 10,10esque,1cut,50.0,False
R_yOe552T3O8bum1H,Maybe 1,maybe_4,1cut,-50.0,False
R_yOe552T3O8bum1H,Maybe 2,maybe_5,1cut,-20.0,False
R_yOe552T3O8bum1H,Maybe 3,maybe_6,1cut,20.0,False
R_yOe552T3O8bum1H,New Maybe 1,new_maybe_1,1cut,30.0,False
R_yOe552T3O8bum1H,New Maybe 2,new_maybe_2,1cut,-40.0,False
R_yOe552T3O8bum1H,New Maybe 3,new_maybe_3,1cut,40.0,False
R_yOe552T3O8bum1H,New Maybe 4,new_maybe_4,1cut,50.0,False
R_yOe552T3O8bum1H,New Maybe 5,new_maybe_5,1cut,50.0,False
R_yOe552T3O8bum1H,New Maybe 6,new_maybe_6,1cut,50.0,False
R_yOe552T3O8bum1H,No A,no_line_A,1cut,-50.0,False
R_yOe552T3O8bum1H,No B,no_line_B,1cut,-50.0,False
R_yOe552T3O8bum1H,No C,no_line_C,1cut,-50.0,False
R_yOe552T3O8bum1H,No D,no_line_D,1cut,-40.0,False
R_yOe552T3O8bum1H,Yes B,yes_line_B,1cut,50.0,False
R_yOe552T3O8bum1H,Yes C,yes_line_C,1cut,40.0,False
R_yOe552T3O8bum1H,Yes D,yes_line_D,1cut,50.0,False
R_yOe552T3O8bum1H,Yes E,yes_line_E,1cut,50.0,False
R_yOe552T3O8bum1H,Yes F,yes_line_F,1cut,40.0,False
R_2Y55QH959rCKwBe,No 1,no_line_1,1cut,-20.0,False
R_2Y55QH959rCKwBe,No 2,no_line_2,1cut,20.0,False
R_2Y55QH959rCKwBe,No 3,no_line_3,1cut,-26.0,False
R_2Y55QH959rCKwBe,Yes 1,yes_line_7,1cut,-50.0,False
R_2Y55QH959rCKwBe,Yes 2,yes_line_8,1cut,-50.0,False
R_2Y55QH959rCKwBe,Yes 3,yes_line_9,1cut,-30.0,False
R_2Y55QH959rCKwBe,Yes 4,yes_line_10,1cut,-50.0,False
R_2Y55QH959rCKwBe,New Yes 7,7esque,1cut,-10.0,False
R_2Y55QH959rCKwBe,New Yes 9,9esque,1cut,15.0,False
R_2Y55QH959rCKwBe,New Yes 10,10esque,1cut,-20.0,False
R_2Y55QH959rCKwBe,Maybe 1,maybe_4,1cut,50.0,False
R_2Y55QH959rCKwBe,Maybe 2,maybe_5,1cut,30.0,False
R_2Y55QH959rCKwBe,Maybe 3,maybe_6,1cut,40.0,False
R_2Y55QH959rCKwBe,New Maybe 1,new_maybe_1,1cut,30.0,False
R_2Y55QH959rCKwBe,New Maybe 2,new_maybe_2,1cut,0.0,False
R_2Y55QH959rCKwBe,New Maybe 3,new_maybe_3,1cut,-40.0,False
R_2Y55QH959rCKwBe,New Maybe 4,new_maybe_4,1cut,-50.0,False
R_2Y55QH959rCKwBe,New Maybe 5,new_maybe_5,1cut,-40.0,False
R_2Y55QH959rCKwBe,New Maybe 6,new_maybe_6,1cut,30.0,False
R_2Y55QH959rCKwBe,No A,no_line_A,1cut,50.0,False
R_2Y55QH959rCKwBe,No B,no_line_B,1cut,40.0,False
R_2Y55QH959rCKwBe,No C,no_line_C,1cut,50.0,False
R_2Y55QH959rCKwBe,No D,no_line_D,1cut,10.0,False
R_2Y55QH959rCKwBe,Yes B,yes_line_B,1cut,15.0,False
R_2Y55QH959rCKwBe,Yes C,yes_line_C,1cut,-30.0,False
R_2Y55QH959rCKwBe,Yes D,yes_line_D,1cut,20.0,False
R_2Y55QH959rCKwBe,Yes E,yes_line_E,1cut,-50.0,False
R_2Y55QH959rCKwBe,Yes F,yes_line_F,1cut,0.0,False
R_9sh4pIR37U64lfb,No 1,no_line_1,1cut,15.0,False
R_9sh4pIR37U64lfb,No 2,no_line_2,1cut,30.0,False
R_9sh4pIR37U64lfb,No 3,no_line_3,1cut,5.0,False
R_9sh4pIR37U64lfb,Yes 1,yes_line_7,1cut,-25.0,False
R_9sh4pIR37U64lfb,Yes 2,yes_line_8,1cut,-25.0,False
R_9sh4pIR37U64lfb,Yes 3,yes_line_9,1cut,-14.0,False
R_9sh4pIR37U64lfb,Yes 4,yes_line_10,1cut,-30.0,False
R_9sh4pIR37U64lfb,New Yes 7,7esque,1cut,-25.0,False
R_9sh4pIR37U64lfb,New Yes 9,9esque,1cut,5.0,False
R_9sh4pIR37U64lfb,New Yes 10,10esque,1cut,-29.0,False
R_9sh4pIR37U64lfb,Maybe 1,maybe_4,1cut,40.0,False
R_9sh4pIR37U64lfb,Maybe 2,maybe_5,1cut,15.0,False
R_9sh4pIR37U64lfb,Maybe 3,maybe_6,1cut,10.0,False
R_9sh4pIR37U64lfb,New Maybe 1,new_maybe_1,1cut,4.0,False
R_9sh4pIR37U64lfb,New Maybe 2,new_maybe_2,1cut,10.0,False
R_9sh4pIR37U64lfb,New Maybe 3,new_maybe_3,1cut,7.0,False
R_9sh4pIR37U64lfb,New Maybe 4,new_maybe_4,1cut,-3.0,False
R_9sh4pIR37U64lfb,New Maybe 5,new_maybe_5,1cut,-10.0,False
R_9sh4pIR37U64lfb,New Maybe 6,new_maybe_6,1cut,-20.0,False
R_9sh4pIR37U64lfb,No A,no_line_A,1cut,20.0,False
R_9sh4pIR37U64lfb,No B,no_line_B,1cut,50.0,False
R_9sh4pIR37U64lfb,No C,no_line_C,1cut,45.0,False
R_9sh4pIR37U64lfb,No D,no_line_D,1cut,7.0,False
R_9sh4pIR37U64lfb,Yes B,yes_line_B,1cut,-40.0,False
R_9sh4pIR37U64lfb,Yes C,yes_line_C,1cut,5.0,False
R_9sh4pIR37U64lfb,Yes D,yes_line_D,1cut,4.0,False
R_9sh4pIR37U64lfb,Yes E,yes_line_E,1cut,-50.0,False
R_9sh4pIR37U64lfb,Yes F,yes_line_F,1cut,-15.0,False
R_3fdF6udlM8Cxmn2,No 1,no_line_1,1cut,35.0,False
R_3fdF6udlM8Cxmn2,No 2,no_line_2,1cut,35.0,False
R_3fdF6udlM8Cxmn2,No 3,no_line_3,1cut,10.0,False
R_3fdF6udlM8Cxmn2,Yes 1,yes_line_7,1cut,0.0,False
R_3fdF6udlM8Cxmn2,Yes 2,yes_line_8,1cut,-5.0,False
R_3fdF6udlM8Cxmn2,Yes 3,yes_line_9,1cut,0.0,False
R_3fdF6udlM8Cxmn2,Yes 4,yes_line_10,1cut,-40.0,False
R_3fdF6udlM8Cxmn2,New Yes 7,7esque,1cut,0.0,False
R_3fdF6udlM8Cxmn2,New Yes 9,9esque,1cut,40.0,False
R_3fdF6udlM8Cxmn2,New Yes 10,10esque,1cut,-40.0,False
R_3fdF6udlM8Cxmn2,Maybe 1,maybe_4,1cut,50.0,False
R_3fdF6udlM8Cxmn2,Maybe 2,maybe_5,1cut,15.0,False
R_3fdF6udlM8Cxmn2,Maybe 3,maybe_6,1cut,50.0,False
R_3fdF6udlM8Cxmn2,New Maybe 1,new_maybe_1,1cut,-40.0,False
R_3fdF6udlM8Cxmn2,New Maybe 2,new_maybe_2,1cut,10.0,False
R_3fdF6udlM8Cxmn2,New Maybe 3,new_maybe_3,1cut,5.0,False
R_3fdF6udlM8Cxmn2,New Maybe 4,new_maybe_4,1cut,-10.0,False
R_3fdF6udlM8Cxmn2,New Maybe 5,new_maybe_5,1cut,-50.0,False
R_3fdF6udlM8Cxmn2,New Maybe 6,new_maybe_6,1cut,5.0,False
R_3fdF6udlM8Cxmn2,No A,no_line_A,1cut,50.0,False
R_3fdF6udlM8Cxmn2,No B,no_line_B,1cut,50.0,False
R_3fdF6udlM8Cxmn2,No C,no_line_C,1cut,50.0,False
R_3fdF6udlM8Cxmn2,No D,no_line_D,1cut,35.0,False
R_3fdF6udlM8Cxmn2,Yes B,yes_line_B,1cut,25.0,False
R_3fdF6udlM8Cxmn2,Yes C,yes_line_C,1cut,35.0,False
R_3fdF6udlM8Cxmn2,Yes D,yes_line_D,1cut,10.0,False
R_3fdF6udlM8Cxmn2,Yes E,yes_line_E,1cut,-50.0,False
R_3fdF6udlM8Cxmn2,Yes F,yes_line_F,1cut,0.0,False
R_1i9eQNz0x41R0gv,No 1,no_line_1,1cut,-17.0,False
R_1i9eQNz0x41R0gv,No 2,no_line_2,1cut,22.0,False
R_1i9eQNz0x41R0gv,No 3,no_line_3,1cut,7.0,False
R_1i9eQNz0x41R0gv,Yes 1,yes_line_7,1cut,-40.0,False
R_1i9eQNz0x41R0gv,Yes 2,yes_line_8,1cut,-41.0,False
R_1i9eQNz0x41R0gv,Yes 3,yes_line_9,1cut,0.0,False
R_1i9eQNz0x41R0gv,Yes 4,yes_line_10,1cut,-42.0,False
R_1i9eQNz0x41R0gv,New Yes 7,7esque,1cut,-31.0,False
R_1i9eQNz0x41R0gv,New Yes 9,9esque,1cut,0.0,False
R_1i9eQNz0x41R0gv,New Yes 10,10esque,1cut,-41.0,False
R_1i9eQNz0x41R0gv,Maybe 1,maybe_4,1cut,45.0,False
R_1i9eQNz0x41R0gv,Maybe 2,maybe_5,1cut,39.0,False
R_1i9eQNz0x41R0gv,Maybe 3,maybe_6,1cut,37.0,False
R_1i9eQNz0x41R0gv,New Maybe 1,new_maybe_1,1cut,0.0,False
R_1i9eQNz0x41R0gv,New Maybe 2,new_maybe_2,1cut,18.0,False
R_1i9eQNz0x41R0gv,New Maybe 3,new_maybe_3,1cut,-11.0,False
R_1i9eQNz0x41R0gv,New Maybe 4,new_maybe_4,1cut,-31.0,False
R_1i9eQNz0x41R0gv,New Maybe 5,new_maybe_5,1cut,-31.0,False
R_1i9eQNz0x41R0gv,New Maybe 6,new_maybe_6,1cut,0.0,False
R_1i9eQNz0x41R0gv,No A,no_line_A,1cut,39.0,False
R_1i9eQNz0x41R0gv,No B,no_line_B,1cut,40.0,False
R_1i9eQNz0x41R0gv,No C,no_line_C,1cut,40.0,False
R_1i9eQNz0x41R0gv,No D,no_line_D,1cut,6.0,False
R_1i9eQNz0x41R0gv,Yes B,yes_line_B,1cut,0.0,False
R_1i9eQNz0x41R0gv,Yes C,yes_line_C,1cut,28.0,False
R_1i9eQNz0x41R0gv,Yes D,yes_line_D,1cut,28.0,False
R_1i9eQNz0x41R0gv,Yes E,yes_line_E,1cut,-39.0,False
R_1i9eQNz0x41R0gv,Yes F,yes_line_F,1cut,0.0,False
R_3KrwIEiFNwyLrls,No 1,no_line_1,1cut,-29.0,False
R_3KrwIEiFNwyLrls,No 2,no_line_2,1cut,18.0,False
R_3KrwIEiFNwyLrls,No 3,no_line_3,1cut,-25.0,False
R_3KrwIEiFNwyLrls,Yes 1,yes_line_7,1cut,-45.0,False
R_3KrwIEiFNwyLrls,Yes 2,yes_line_8,1cut,-41.0,False
R_3KrwIEiFNwyLrls,Yes 3,yes_line_9,1cut,-25.0,False
R_3KrwIEiFNwyLrls,Yes 4,yes_line_10,1cut,-45.0,False
R_3KrwIEiFNwyLrls,New Yes 7,7esque,1cut,-30.0,False
R_3KrwIEiFNwyLrls,New Yes 9,9esque,1cut,-20.0,False
R_3KrwIEiFNwyLrls,New Yes 10,10esque,1cut,-30.0,False
R_3KrwIEiFNwyLrls,Maybe 1,maybe_4,1cut,30.0,False
R_3KrwIEiFNwyLrls,Maybe 2,maybe_5,1cut,-19.0,False
R_3KrwIEiFNwyLrls,Maybe 3,maybe_6,1cut,30.0,False
R_3KrwIEiFNwyLrls,New Maybe 1,new_maybe_1,1cut,-30.0,False
R_3KrwIEiFNwyLrls,New Maybe 2,new_maybe_2,1cut,21.0,False
R_3KrwIEiFNwyLrls,New Maybe 3,new_maybe_3,1cut,-20.0,False
R_3KrwIEiFNwyLrls,New Maybe 4,new_maybe_4,1cut,-20.0,False
