country,stimulus,judgment_mean,judgment_stdev,sample_size
Israel,yesline_C_badder,2.185185185185185,1.2720981165907046,27
Israel,yesline_D_1cut,3.2857142857142856,1.5600841111499193,28
Israel,yesline_C_bad,3.6296296296296298,1.3344012817090594,27
Israel,new_maybe_5_1cut,2.769230769230769,1.3944946699845735,26
Israel,noline_D_1cut,3.7241379310344827,1.3064825110670781,29
Israel,noline_B_1cut,4.0,1.3912166872805047,32
Israel,new_maybe_4_bad,2.3793103448275863,1.207529742415372,29
Israel,yesline_F_1cut,3.7037037037037037,1.3816048309237736,27
Israel,yesline_B_bad,3.129032258064516,1.284313966906612,31
Israel,new_maybe_3_bad,2.6666666666666665,1.216209959943869,33
Israel,new_maybe_1_1cut,3.2413793103448274,1.430663492774122,29
Italy,new_maybe_3_bad,2.8205128205128207,1.354753713717482,39
Italy,maybe_6_1cut,3.606060606060606,1.619015787820527,33
Italy,new_maybe_4_bad,2.8421052631578947,1.4982208509929131,38
Italy,yesline_D_badder,2.3125,1.4466312368685639,32
Italy,yesline_C_badder,2.53125,1.3194420863966856,32
Italy,new_yes_10_1cut,2.085714285714286,1.2688908674954853,35
Italy,new_yes_9_1cut,3.3793103448275863,1.6127570249962877,29
Italy,new_maybe_6_1cut,3.727272727272727,1.4420629162923004,33
Italy,new_maybe_3_1cut,3.727272727272727,1.1530591721787111,33
Italy,new_maybe_2_1cut,3.9444444444444446,1.3080944580232385,36
Italy,new_yes_8_1cut,2.289473684210526,1.3132977830089907,38
Italy,maybe_4_1cut,3.861111111111111,1.5703098470916548,36
Italy,noline_C_1cut,3.787878787878788,1.5960415047386718,33
Italy,yesline_E_1cut,2.1470588235294117,1.39549823710683,34
Italy,new_maybe_5_1cut,3.027027027027027,1.301419876017611,37
Italy,new_maybe_5_bad,2.0277777777777777,1.2532497439197507,36
Italy,yesline_B_1cut,3.6,1.518513204730593,35
Italy,new_maybe_3_badder,2.358974358974359,1.385776990625219,39
Italy,yesline_B_bad,3.0285714285714285,1.5621575254927977,35
Italy,new_yes_10mod_1cut,2.176470588235294,1.424261387213995,34
Italy,new_yes_7_1cut,2.2777777777777777,1.61441915447916,36
Italy,new_no_2_1cut,4.105263157894737,1.1339830229962935,38
Italy,yesline_D_bad,2.7058823529411766,1.6792749475223268,34
Italy,new_no_3_1cut,3.8684210526315788,1.4551131214794146,38
Italy,yesline_D_1cut,2.5428571428571427,1.5404899362532296,35
Italy,new_no_1_1cut,3.7586206896551726,1.3537031858095538,29
Italy,new_maybe_1_1cut,3.45,1.4841038045110264,40
Italy,yesline_F_1cut,3.34375,1.536845848252297,32
Italy,maybe_5_1cut,3.8055555555555554,1.4893803974317539,36
Italy,new_maybe_4_1cut,3.0,1.3784048752090226,41
Italy,new_yes_9esque_1cut,3.28125,1.2504031607910022,32
Italy,yesline_C_bad,3.064516129032258,1.5041162160544144,31
Italy,yesline_C_1cut,3.3870967741935485,1.54223688960416,31
Italy,yesline_B_badder,2.303030303030303,1.446652352952509,33
Italy,new_yes_10_bad,2.051282051282051,1.3562471042650233,39
Italy,noline_A_1cut,3.84375,1.2978735710582956,32
Italy,noline_B_1cut,4.117647058823529,1.4722628611303805,34
Italy,new_yes_7esque_1cut,1.935483870967742,1.4817890959010271,31
Italy,noline_D_1cut,3.878787878787879,1.473888898407368,33
Japan,maybe_4_1cut,3.6857142857142855,1.6046151924889616,35
Japan,new_yes_10_1cut,1.5526315789473684,1.005320129759741,38
Japan,new_maybe_5_1cut,3.4,1.1682062670406033,35
