country,split_half_corr,subsample_size,seed,portion_excluded,n_after_exclusions,label
Egypt,0.8570932293871928,2059,955081,0.2733333333333333,109,N = 109
Egypt,0.8057048086302518,2059,659874,0.2733333333333333,109,N = 109
Egypt,0.8690256527758333,2059,47258,0.2733333333333333,109,N = 109
Egypt,0.85577679631516,2059,735757,0.2733333333333333,109,N = 109
Egypt,0.8733960969007238,2059,738672,0.2733333333333333,109,N = 109
Egypt,0.9089773054966391,2059,222753,0.2733333333333333,109,N = 109
Egypt,0.8920716792108959,2059,867086,0.2733333333333333,109,N = 109
Egypt,0.7859593098940477,2059,172066,0.2733333333333333,109,N = 109
Egypt,0.8565854873700761,2059,788717,0.2733333333333333,109,N = 109
Egypt,0.8228877148536791,2059,870414,0.2733333333333333,109,N = 109
Egypt,0.8692600285148041,2059,482842,0.2733333333333333,109,N = 109
Egypt,0.8394636762653905,2059,60138,0.2733333333333333,109,N = 109
Egypt,0.7421028412915994,2059,162333,0.2733333333333333,109,N = 109
Egypt,0.8422934269640748,2059,683688,0.2733333333333333,109,N = 109
Egypt,0.8203323353875442,2059,41563,0.2733333333333333,109,N = 109
Egypt,0.7991977088466975,2059,671238,0.2733333333333333,109,N = 109
Egypt,0.8477303351716957,2059,139734,0.2733333333333333,109,N = 109
Egypt,0.820573265625818,2059,611017,0.2733333333333333,109,N = 109
Egypt,0.8016986829771965,2059,548738,0.2733333333333333,109,N = 109
Egypt,0.8502498274130205,2059,60137,0.2733333333333333,109,N = 109
Egypt,0.8582585012894289,2059,178486,0.2733333333333333,109,N = 109
Egypt,0.8155302333948884,2059,977769,0.2733333333333333,109,N = 109
Egypt,0.8978751377731118,2059,403427,0.2733333333333333,109,N = 109
Egypt,0.8594338797351851,2059,438951,0.2733333333333333,109,N = 109
Egypt,0.821932020089298,2059,453288,0.2733333333333333,109,N = 109
Egypt,0.8231350668211795,2059,532595,0.2733333333333333,109,N = 109
Egypt,0.8300030928381049,2059,193048,0.2733333333333333,109,N = 109
Egypt,0.7444299913483978,2059,3132,0.2733333333333333,109,N = 109
Egypt,0.8758852929518414,2059,645734,0.2733333333333333,109,N = 109
Egypt,0.8340886283040388,2059,251267,0.2733333333333333,109,N = 109
Egypt,0.8204068882400322,2059,657644,0.2733333333333333,109,N = 109
Egypt,0.8553567861185869,2059,858490,0.2733333333333333,109,N = 109
Egypt,0.802850870353758,2059,430907,0.2733333333333333,109,N = 109
Egypt,0.7304788943180804,2059,425298,0.2733333333333333,109,N = 109
Egypt,0.8347915969501016,2059,175989,0.2733333333333333,109,N = 109
Egypt,0.8642106768389071,2059,735818,0.2733333333333333,109,N = 109
Egypt,0.863078196499375,2059,698900,0.2733333333333333,109,N = 109
Egypt,0.8234780666608805,2059,922043,0.2733333333333333,109,N = 109
Egypt,0.8148048305792777,2059,775964,0.2733333333333333,109,N = 109
Egypt,0.7984643533689089,2059,153474,0.2733333333333333,109,N = 109
Egypt,0.8673950450003484,2059,803483,0.2733333333333333,109,N = 109
Egypt,0.8265196034182939,2059,992259,0.2733333333333333,109,N = 109
Egypt,0.8310864702563397,2059,357628,0.2733333333333333,109,N = 109
Egypt,0.9042731328264356,2059,182331,0.2733333333333333,109,N = 109
Egypt,0.8319901553608107,2059,851945,0.2733333333333333,109,N = 109
Egypt,0.7743176961588311,2059,940112,0.2733333333333333,109,N = 109
Egypt,0.8006508675887334,2059,974896,0.2733333333333333,109,N = 109
Egypt,0.7829671241721765,2059,86883,0.2733333333333333,109,N = 109
Egypt,0.7832267752899683,2059,878964,0.2733333333333333,109,N = 109
Egypt,0.8571036842993088,2059,468210,0.2733333333333333,109,N = 109
Egypt,0.825964224272856,2059,431765,0.2733333333333333,109,N = 109
Egypt,0.8244139719405561,2059,828989,0.2733333333333333,109,N = 109
Egypt,0.7755540805927557,2059,905231,0.2733333333333333,109,N = 109
Egypt,0.8247298489714074,2059,281052,0.2733333333333333,109,N = 109
Egypt,0.7921636307500467,2059,760105,0.2733333333333333,109,N = 109
Egypt,0.8498702017048829,2059,869091,0.2733333333333333,109,N = 109
Egypt,0.824582624795457,2059,865336,0.2733333333333333,109,N = 109
Egypt,0.7795464453285559,2059,976416,0.2733333333333333,109,N = 109
Egypt,0.8395284996110213,2059,329552,0.2733333333333333,109,N = 109
